Lambda,Loss (%),Samples,Mean (ms),Median (ms),Variance (ms²),Std Dev (ms),CV,Min (ms),Max (ms),IQR (ms),P95 (ms)
0,0,4415,33.386,49.582,721.202887,26.855,0.8044,0.064,167.661,53.668,60.623
0.5,0,4086,35.423,50.571,702.671595,26.508,0.7483,0.025,170.376,53.971,61.06
1.0,0,3337,33.998,49.928,711.875322,26.681,0.7848,0.037,172.208,53.749,61.001
0,10,3165,43.607,49.526,9422.523511,97.07,2.226,0.033,1211.169,53.898,61.648
0.5,10,4035,42.247,49.196,15169.93864,123.166,2.9154,0.006,2203.243,54.011,60.737
1.0,10,3555,35.95,49.384,3596.541597,59.971,1.6682,0.022,1194.234,53.931,60.137
0,25,2071,81.364,48.52,68208.788053,261.168,3.2099,0.11,2232.344,54.534,169.882
0.5,25,3223,43.382,46.962,18244.633677,135.073,3.1136,0.046,2126.312,53.781,61.218
1.0,25,3190,38.332,46.495,7825.846928,88.464,2.3078,0.005,1196.343,53.786,60.38
0,50,2561,44.948,1.883,31986.302864,178.847,3.979,0.015,2213.758,52.904,60.373
0.5,50,2469,55.355,1.841,42578.714055,206.346,3.7277,0.059,2170.658,52.51,63.008
1.0,50,2464,39.146,1.769,13208.431566,114.928,2.9359,0.046,1189.88,52.59,61.059
